Air_Quality_Index,Water_Quality_Index,CO2_Growth_Rate,Green_Areas,Renewable_Energy_Usage,Temperature,waste_water_treatment,solid_waste_treatment,Environmental_Health_Score
151,35,8,15,17,31,30,20,23
279,13,16,7,9,2,8,17,17
254,4,11,5,6,-2,10,19,10
84,77,-1,48,58,24,70,66,74
273,10,17,5,5,39,10,15,3
119,44,1,29,25,10,44,48,51
291,84,-3,68,89,0,40,32,92
163,31,9,19,17,5,34,26,21
90,65,-2,49,42,22,70,66,79
122,58,4,23,21,10,52,40,56
102,54,3,31,28,14,63,41,42
41,84,-6,77,69,31,96,97,80
162,4,-10,39,75,20,49,27,46
261,8,17,7,5,-1,7,9,9
195,66,-4,17,6,24,74,90,64
176,34,6,16,10,6,35,26,33
268,5,10,5,9,39,11,13,0
16,87,-9,72,73,32,99,94,92
51,61,-2,53,41,21,75,66,65
26,85,-8,64,61,33,98,83,89
108,58,0,36,30,11,45,53,42
200,60,-2,67,34,1,92,69,7
179,61,12,25,67,2,59,10,34
101,56,1,27,26,11,65,41,42
180,35,8,25,28,5,15,44,10
33,82,-10,71,77,33,97,93,96
215,11,16,7,5,-3,10,8,6
8,83,-7,68,72,31,95,89,92
212,8,11,9,9,39,12,18,7
139,55,2,33,22,12,57,49,45
23,95,-10,64,63,31,97,98,83
297,18,6,32,75,33,60,67,2
139,47,1,28,20,14,61,56,58
140,56,0,20,39,25,53,50,42
240,3,19,7,6,-1,7,14,15
122,48,4,29,36,28,62,55,42
269,2,16,6,9,35,7,7,11
279,13,13,8,9,38,5,5,9
298,0,11,6,5,0,11,13,14
12,98,-6,77,73,33,93,99,99
92,68,-5,54,41,18,72,76,64
170,38,5,19,11,5,30,37,36
31,95,-7,68,67,31,96,97,92
239,7,18,9,7,38,9,18,2
221,10,16,6,7,35,5,16,12
156,27,5,11,18,33,29,28,32
137,47,0,34,34,26,49,59,45
67,66,-2,48,41,20,70,68,79
172,16,15,61,45,-14,58,69,50
136,58,1,30,27,27,43,56,46
20,93,-10,73,60,32,93,80,96
173,32,9,13,17,5,39,38,22
106,58,4,33,23,13,46,47,52
281,1,12,7,6,36,8,13,16
288,0,8,30,79,-2,57,52,68
195,20,5,16,18,30,26,27,30
46,48,3,14,30,-15,58,7,15
47,87,-10,68,61,34,96,83,91
10,61,2,24,70,36,8,63,71
89,63,-4,52,41,16,74,63,77
155,38,9,11,13,5,24,39,25
117,57,1,35,39,14,52,57,56
98,60,-5,41,42,21,74,79,76
160,25,7,18,10,33,39,34,33
111,51,0,21,27,26,50,43,49
281,10,11,7,8,38,6,6,14
195,37,7,18,11,6,39,21,31
132,51,1,29,33,10,59,49,49
184,26,5,19,11,32,21,22,31
99,71,-1,40,56,22,79,74,63
187,22,8,13,12,34,24,24,39
99,76,-2,54,54,23,73,77,73
138,56,3,39,30,25,43,45,40
159,52,19,38,30,2,6,82,76
264,0,17,8,5,-1,7,13,13
112,40,3,24,36,29,60,53,41
31,99,-10,61,77,30,96,86,96
48,90,16,41,91,0,19,66,61
90,77,-2,40,41,15,70,68,72
87,75,-1,46,59,20,72,64,78
34,80,-6,75,65,33,90,84,84
76,64,-5,48,51,19,75,79,62
37,98,-7,72,73,32,99,85,80
173,37,6,17,17,5,27,37,32
106,55,3,30,28,12,58,47,44
66,78,-5,44,47,20,74,69,61
62,63,-5,46,49,19,76,72,67
102,57,0,25,30,25,68,45,45
59,63,-5,55,54,22,78,79,64
199,62,10,63,19,-8,62,50,30
73,76,-2,53,51,15,75,78,65
270,8,15,8,8,38,13,19,19
286,0,10,9,9,36,14,15,8
250,15,18,8,5,0,11,15,13
123,58,2,21,27,29,50,44,57
207,16,11,8,5,4,6,10,10
79,67,-3,53,57,18,76,62,71
213,2,14,5,9,0,13,19,1
155,32,5,19,10,32,32,31,22
85,74,-1,51,59,19,72,68,68
28,99,-10,65,63,31,95,95,97
71,68,-2,54,54,17,78,64,68
165,23,6,15,16,7,33,30,21
216,49,18,56,38,15,60,47,49
189,34,7,17,14,6,33,30,30
232,95,-9,62,27,-1,98,41,92
243,47,3,13,58,17,62,62,50
127,6,-1,46,52,22,73,91,91
210,7,14,9,5,1,12,5,17
286,10,-1,66,13,0,78,97,9
58,62,-2,52,52,16,72,65,75
271,16,16,8,9,38,10,13,4
32,92,-7,62,79,33,99,90,81
44,93,-9,66,73,31,97,89,96
258,8,12,6,5,39,14,13,19
31,81,-7,74,64,34,95,83,99
289,11,10,6,9,39,6,16,14
176,29,8,12,16,5,34,23,24
135,56,1,20,26,14,58,50,41
45,97,-6,68,62,33,95,89,98
77,77,-4,44,48,18,72,67,79
137,78,-1,47,43,2,91,20,53
142,58,4,22,30,12,56,55,46
83,77,-5,58,44,22,71,74,66
236,0,15,7,9,35,9,13,9
20,91,-6,68,68,31,95,98,80
195,23,9,13,17,30,15,32,23
125,97,14,15,97,13,23,27,82
136,44,0,36,22,29,55,42,59
105,45,1,33,29,29,69,42,45
172,37,5,10,17,8,19,30,32
180,31,6,16,10,34,29,26,34
102,58,3,25,36,25,44,46,48
243,42,16,31,77,2,32,33,15
282,11,18,8,9,37,14,14,19
153,37,9,12,12,31,34,35,30
70,78,-3,59,50,15,71,68,61
73,72,-2,40,54,23,76,64,61
147,95,-4,51,32,24,43,86,0
174,24,6,17,15,5,32,31,31
282,1,19,9,6,38,6,19,10
267,7,15,9,9,-1,13,8,17
115,48,1,28,29,26,58,50,52
36,12,-3,7,4,-7,5,40,34
38,99,-10,22,9,38,73,38,51
45,84,-10,70,64,32,90,81,80
247,69,10,56,38,8,37,63,17
51,65,-4,47,46,15,74,75,71
258,19,17,58,35,3,94,71,18
165,25,5,17,15,32,39,21,34
59,74,-4,40,49,21,76,67,64
277,3,10,5,6,38,12,11,1
95,61,-6,63,9,24,28,48,59
153,31,8,14,14,5,16,31,22
138,50,2,23,37,25,52,53,40
146,45,1,20,29,14,44,41,55
0,94,-6,72,67,34,98,80,83
55,69,-4,48,52,24,79,69,69
12,86,-7,74,78,32,92,96,82
132,11,15,45,33,33,82,94,44
91,60,-4,43,49,20,76,60,76
180,23,17,2,19,30,19,29,93
46,98,-7,61,78,30,92,84,97
11,83,-6,74,70,31,92,93,95
157,21,5,17,17,32,25,21,36
17,85,-8,70,74,33,94,99,89
161,35,6,16,19,31,20,38,23
145,65,-7,32,35,2,23,32,39
148,46,2,31,34,27,65,49,50
285,17,14,9,8,35,7,5,10
15,93,-8,66,75,34,97,95,88
30,81,-8,71,63,33,91,81,94
52,72,-1,55,41,22,79,74,76
244,14,15,6,9,36,7,7,9
176,32,5,17,19,7,38,23,35
70,69,11,54,66,-3,7,30,56
126,53,1,36,33,26,52,48,54
102,45,3,31,24,11,55,44,54
62,69,-3,46,48,22,76,75,64
82,63,-4,56,58,17,73,62,67
21,90,-8,74,65,33,98,99,91
89,15,-6,60,9,34,7,81,93
92,78,-5,51,40,18,70,62,70
120,55,2,26,35,14,66,54,55
148,52,0,39,23,11,65,51,56
45,89,-9,76,65,33,90,88,83
41,89,-6,76,68,30,97,88,88
101,58,0,35,31,27,68,47,55
57,63,-5,54,47,18,75,77,74
120,48,0,39,27,10,46,40,52
211,11,19,8,8,35,8,9,7
227,4,13,7,6,2,10,10,7
62,68,-4,52,47,18,75,70,72
29,85,-6,63,78,34,93,96,80
115,46,0,38,35,11,66,57,59
186,22,8,16,10,32,25,21,33
243,72,4,3,62,24,13,13,25
3,94,7,79,35,9,91,80,97
6,88,-6,77,64,34,93,81,95
92,65,-2,40,46,15,77,64,78
232,14,15,6,7,36,6,14,16
84,74,-5,58,59,20,72,64,70
264,21,2,47,17,35,80,44,16
256,14,14,7,8,37,13,9,2
96,64,-2,53,49,20,79,66,75
47,38,-1,9,29,36,22,64,87
239,18,16,7,6,4,10,6,10
159,30,5,16,18,9,36,23,27
132,46,3,37,35,12,67,57,46
254,10,15,6,7,-2,7,5,14
69,66,-1,44,41,15,77,65,66
178,26,5,18,10,5,33,25,37
157,76,0,17,86,-1,25,61,22
10,86,-10,75,64,30,93,89,97
78,69,16,14,49,20,12,83,2
212,61,6,24,22,8,42,32,20
215,3,14,9,7,36,8,9,19
194,36,5,15,11,9,27,39,27
123,48,1,33,33,28,69,45,50
145,1,18,12,3,26,78,65,94
165,37,6,13,19,9,24,28,27
14,96,-10,76,70,30,99,93,99
203,17,16,5,5,-2,10,11,9
96,74,-2,56,48,23,71,64,72
71,63,-2,53,51,19,71,70,67
7,90,-6,64,72,34,96,84,92
126,44,0,28,31,29,61,59,42
3,98,-8,65,72,32,98,99,94
88,78,-1,47,40,18,70,66,73
116,52,1,21,35,10,56,50,58
89,74,-2,45,59,16,74,79,71
235,54,6,1,24,-3,96,74,66
123,41,2,24,27,12,57,55,58
24,86,-7,60,73,33,90,93,95
199,20,5,12,13,30,23,21,27
127,53,1,39,26,27,68,51,42
129,86,1,1,80,19,91,34,7
292,6,13,9,7,36,14,11,9
46,58,-7,36,16,23,52,50,89
252,1,17,7,9,0,9,13,0
46,94,-10,79,68,33,91,97,84
254,13,17,7,8,37,8,15,10
12,94,-6,75,77,34,95,90,82
126,52,2,33,22,27,56,42,55
22,92,-6,65,60,31,95,88,94
18,84,-7,76,76,31,98,96,94
57,63,-4,57,52,17,77,63,63
21,82,-7,77,74,30,91,82,89
19,95,-10,67,71,32,95,89,94
131,42,3,25,24,26,56,41,54
142,57,3,32,27,10,60,54,59
108,42,0,30,22,29,68,49,52
31,97,-6,64,63,33,97,88,98
198,24,7,10,14,34,23,28,23
7,89,-10,76,68,32,99,96,96
136,33,1,34,0,24,68,26,59
44,98,-8,76,64,33,94,87,93
223,14,19,7,8,36,12,18,17
277,7,11,8,6,36,12,6,10
41,92,-8,75,67,32,98,87,92
19,63,18,66,82,-13,58,82,63
165,87,13,21,1,15,15,96,45
58,30,-1,73,31,18,13,85,10
251,10,16,7,6,38,11,16,0
223,34,1,10,98,-8,82,78,65
103,51,4,35,36,14,63,41,43
234,15,18,9,9,35,11,19,4
120,54,1,39,32,14,47,48,55
112,51,0,38,39,14,61,47,58
264,2,10,25,71,32,70,74,27
235,54,7,33,88,29,10,25,69
37,98,-6,67,60,33,90,86,93
122,54,1,20,30,26,69,57,57
299,16,18,6,5,-2,6,8,10
216,71,2,58,3,24,71,33,28
158,35,6,14,17,6,28,24,37
258,16,16,9,5,-5,5,15,2
168,21,9,14,13,7,32,34,38
34,94,-10,66,71,30,94,99,84
216,6,19,8,9,36,9,9,16
186,22,5,15,16,8,24,21,30
278,16,13,6,8,-4,10,10,9
127,45,2,24,21,28,64,43,49
224,2,16,5,5,36,13,11,9
47,91,-9,60,75,32,91,81,92
182,79,0,15,7,-12,8,60,24
148,41,3,25,30,27,47,51,41
5,98,-6,73,63,33,96,87,92
198,36,7,19,14,6,35,32,25
67,44,17,11,31,16,96,17,30
169,31,9,19,10,9,36,35,26
230,18,10,5,7,36,8,7,9
130,97,5,21,95,22,76,76,61
7,95,-9,63,65,33,98,94,95
186,21,8,11,11,33,20,26,29
133,56,4,21,28,13,56,56,57
33,96,-2,40,22,-9,7,62,31
178,22,6,13,11,31,31,32,23
113,95,11,42,66,38,14,46,63
83,64,-2,55,58,23,72,76,76
77,68,-2,49,56,24,79,65,73
188,21,5,15,11,6,38,37,28
97,61,-3,43,58,19,70,62,77
199,24,5,19,17,6,31,37,26
101,58,4,35,24,25,65,41,57
131,51,1,37,32,14,65,49,51
78,60,-1,48,57,22,74,61,70
187,6,-6,44,57,35,35,27,41
95,77,-1,52,43,15,72,76,70
26,81,-8,60,66,30,92,99,99
131,49,1,31,23,29,56,54,45
62,63,-1,54,50,16,72,73,75
277,15,18,8,8,0,7,16,6
164,38,6,18,14,5,24,28,34
263,14,19,7,8,2,13,19,16
44,90,-8,67,79,31,99,95,98
98,22,6,0,78,16,13,19,27
258,15,15,7,8,-3,11,9,17
153,32,9,11,19,33,22,28,26
121,46,1,23,30,11,66,40,42
125,46,3,23,27,13,68,58,52
257,12,10,31,94,0,36,36,97
84,63,-5,42,52,15,76,74,70
26,92,-8,65,63,32,92,82,83
1,98,-8,64,78,31,99,81,90
